gebid,building_type,scenario_name,scenario_category,enob_category,hvac_system_type,hvac_subsystem_type,nfa,bac,hvac_rsl,envbpot,endenergy_norm_diff,co2_norm_heating_dhw_diff,penrt_norm_diff,pet_norm_diff,pert_norm_diff,lca_gwp_norm_a2,lca_penrt_norm,lca_pert_norm,lcc_norm,total_pv_potential_kwh,investment_costs_total,investment_costs_norm,operation_costs_norm_diff,endenergy_total_diff,penrt_total_diff,pet_total_diff,co2_total_heating_dhw_diff,operation_costs_total_diff
B015,community_center,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,3488.0,1979-1995,14.2,Low,38.24,13.88,121.82,121.56,8.15,14.21,77.01,86.1,40.39,299081.0,245160.0,70.29,8.45,133373.0,424890.0,424003.0,48417.0,29472.0
B015,community_center,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,3488.0,1979-1995,14.2,Low,32.37,10.32,77.35,115.32,7.48,35.61,143.55,18.84,110.02,299081.0,1132557.0,324.7,7.44,112912.0,269800.0,402234.0,35994.0,25938.0
B016,library,EGB55,construction_only,EGB55,,,2516.0,1979-1995,,Negligible,107.61,19.44,312.26,279.01,11.68,73.56,642.79,25.42,141.68,424883.0,1669430.0,663.53,4.66,270748.0,785645.0,701986.0,48912.0,11730.0
B016,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2516.0,1979-1995,14.8,Negligible,10.18,3.49,20.0,30.81,0.89,11.9,104.66,14.92,23.71,424883.0,306353.0,121.76,9.93,25618.0,50330.0,77511.0,8787.0,24972.0
B016,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2516.0,1979-1995,14.8,Negligible,62.14,16.84,186.89,165.84,14.39,60.13,687.15,39.02,315.47,424883.0,1501821.0,596.91,6.51,156353.0,470200.0,417260.0,42363.0,16369.0
B017,school,EGB55,construction_only,EGB55,,,7718.1,vor 1919,,Very high,41.47,14.6,100.67,110.36,5.85,14.32,259.99,30.23,105.73,1365564.0,1063864.0,137.84,7.72,320109.0,777002.0,851750.0,112671.0,59582.0
B017,school,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,7718.1,vor 1919,27.2,Very high,34.55,12.59,75.4,107.65,6.27,3.35,32.49,80.55,33.71,1365564.0,976755.0,126.55,1.53,266668.0,581917.0,830830.0,97202.0,11824.0
B017,school,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,7718.1,vor 1919,27.2,Very high,87.35,30.87,157.93,265.09,13.43,70.32,140.04,29.72,348.8,1365564.0,3388216.0,438.99,7.52,674197.0,1218956.0,2046021.0,238270.0,58070.0
B018,office,EGB55,construction_only,EGB55,,,2831.2,1996-2009,,Negligible,34.3,10.07,107.54,107.26,7.18,34.54,548.32,69.68,263.93,347532.0,1646798.0,581.67,9.03,97114.0,304453.0,303681.0,28510.0,25572.0
B018,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2831.2,1996-2009,6.2,Negligible,28.31,7.88,57.53,90.32,6.89,4.43,74.49,68.16,30.15,347532.0,176681.0,62.41,6.27,80148.0,162885.0,255725.0,22296.0,17752.0
B018,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2831.2,1996-2009,6.2,Negligible,90.08,26.29,175.64,316.06,23.85,16.31,284.61,22.24,362.68,347532.0,2103820.0,743.09,1.19,255037.0,497279.0,894826.0,74429.0,3358.0
B019,admin,EGB55,construction_only,EGB55,,,1863.0,1919-1948,,High,32.52,9.26,92.48,94.32,3.52,37.0,885.32,69.56,84.21,132694.0,1089692.0,584.93,5.32,60588.0,172294.0,175723.0,17256.0,9910.0
B019,admin,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1863.0,1919-1948,10.5,High,5.51,1.95,11.17,16.14,1.17,11.14,36.54,19.41,24.23,132694.0,67601.0,36.29,3.86,10263.0,20805.0,30062.0,3636.0,7184.0
B019,admin,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1863.0,1919-1948,10.5,High,37.89,9.52,99.33,100.39,3.29,35.15,699.25,28.98,193.73,132694.0,1184716.0,635.93,6.8,70590.0,185055.0,187021.0,17739.0,12675.0
B020,workshop,EGB55,construction_only,EGB55,,,7377.3,1919-1948,,Medium,40.61,10.87,107.35,150.13,4.43,66.41,469.88,18.8,409.61,1311350.0,3817478.0,517.46,2.5,299578.0,791923.0,1107523.0,80160.0,18423.0
B020,workshop,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,7377.3,1919-1948,17.1,Medium,9.12,1.81,20.66,33.76,0.79,18.53,81.16,13.5,38.43,1311350.0,627477.0,85.05,9.24,67309.0,152399.0,249093.0,13363.0,68179.0
B020,workshop,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,7377.3,1919-1948,17.1,Medium,101.29,38.44,204.55,354.59,16.43,72.23,811.26,89.34,141.1,1311350.0,3154007.0,427.53,15.11,747275.0,1509001.0,2615889.0,283550.0,111494.0
B021,community_center,EGB55,construction_only,EGB55,,,3233.8,ab 2010,,Negligible,104.25,28.11,244.01,301.56,11.26,13.01,698.27,54.29,295.32,387940.0,1880159.0,581.4,4.07,337143.0,789105.0,975181.0,90907.0,13151.0
B021,community_center,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,3233.8,ab 2010,9.2,Negligible,16.12,3.88,46.17,45.1,2.33,13.45,38.66,16.73,44.86,387940.0,390562.0,120.77,5.09,52118.0,149316.0,145861.0,12549.0,16472.0
B021,community_center,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,3233.8,ab 2010,9.2,Negligible,93.05,24.27,242.79,242.45,13.92,57.98,563.72,20.64,308.5,387940.0,550465.0,170.22,15.53,300922.0,785147.0,784042.0,78500.0,50224.0
B022,community_center,EGB55,construction_only,EGB55,,,2327.0,1919-1948,,Very high,43.92,16.61,137.46,99.59,8.09,57.31,655.96,35.54,164.61,508767.0,238678.0,102.57,1.05,102190.0,319865.0,231742.0,38641.0,2434.0
B022,community_center,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2327.0,1919-1948,14.1,Very high,8.04,1.77,18.21,18.58,0.69,18.68,63.52,24.8,45.42,508767.0,72446.0,31.13,4.3,18698.0,42381.0,43245.0,4123.0,10001.0
B022,community_center,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2327.0,1919-1948,14.1,Very high,126.89,38.98,244.95,343.72,10.86,25.97,100.86,18.35,280.62,508767.0,428873.0,184.31,2.91,295257.0,569989.0,799817.0,90699.0,6782.0
B023,nursery,EGB55,construction_only,EGB55,,,2949.4,ab 2010,,Negligible,95.11,28.87,184.56,248.85,18.71,86.08,750.05,60.54,237.15,552574.0,321723.0,109.08,14.31,280512.0,544343.0,733957.0,85159.0,42195.0
B023,nursery,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2949.4,ab 2010,11.3,Negligible,10.16,3.24,29.85,35.15,1.73,5.19,23.53,77.81,58.88,552574.0,174891.0,59.3,13.92,29976.0,88039.0,103671.0,9551.0,41069.0
B023,nursery,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2949.4,ab 2010,11.3,Negligible,70.87,19.92,128.38,206.11,8.5,66.42,492.11,79.25,380.73,552574.0,983825.0,333.56,4.85,209027.0,378639.0,607922.0,58743.0,14293.0
B024,school,EGB55,construction_only,EGB55,,,4230.4,ab 2010,,Negligible,130.91,24.99,329.33,393.59,21.87,86.0,857.99,18.25,97.65,284881.0,1457337.0,344.49,13.43,553793.0,1393209.0,1665016.0,105718.0,56803.0
B024,school,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4230.4,ab 2010,9.4,Negligible,34.19,10.09,71.6,119.96,2.83,14.57,39.43,46.63,58.76,284881.0,400551.0,94.68,1.38,144650.0,302909.0,507495.0,42702.0,5849.0
B024,school,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4230.4,ab 2010,9.4,Negligible,79.45,15.2,171.1,177.11,14.94,39.28,493.03,32.26,289.59,284881.0,991726.0,234.43,14.55,336083.0,723828.0,749243.0,64307.0,61565.0
B025,office,EGB55,construction_only,EGB55,,,4146.8,ab 2010,,Negligible,109.55,35.49,248.43,346.65,29.05,12.45,741.95,52.43,184.05,441107.0,1286178.0,310.17,1.58,454293.0,1030163.0,1437458.0,147188.0,6535.0
B025,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4146.8,ab 2010,9.9,Negligible,29.93,5.97,81.91,111.91,8.26,18.01,100.66,22.59,58.51,441107.0,225280.0,54.33,13.97,124094.0,339665.0,464061.0,24759.0,57931.0
B025,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4146.8,ab 2010,9.9,Negligible,130.03,36.96,270.54,394.13,17.96,18.32,185.12,73.7,390.51,441107.0,882800.0,212.89,0.71,539194.0,1121845.0,1634379.0,153272.0,2926.0
B026,library,EGB55,construction_only,EGB55,,,1421.7,1919-1948,,Very high,57.32,12.68,156.52,152.66,9.16,46.0,821.63,28.2,313.09,217998.0,406078.0,285.62,14.36,81498.0,222523.0,217046.0,18021.0,20421.0
B026,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1421.7,1919-1948,14.5,Very high,25.21,8.96,69.11,59.26,2.71,19.83,22.91,32.67,57.94,217998.0,45229.0,31.81,3.0,35837.0,98260.0,84252.0,12738.0,4268.0
B026,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1421.7,1919-1948,14.5,Very high,40.06,10.99,105.34,108.54,4.08,74.5,739.67,54.09,92.34,217998.0,695114.0,488.92,10.26,56959.0,149767.0,154319.0,15629.0,14584.0
B027,sports_hall,EGB55,construction_only,EGB55,,,6965.4,1949-1978,,Low,74.02,24.15,159.87,280.31,16.58,42.75,420.22,71.9,106.76,545130.0,3369678.0,483.78,11.64,515578.0,1113532.0,1952488.0,168208.0,81091.0
B027,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,6965.4,1949-1978,17.0,Low,39.93,10.93,97.86,106.03,10.54,7.69,89.53,41.57,56.77,545130.0,1001306.0,143.76,0.97,278113.0,681612.0,738524.0,76127.0,6725.0
B027,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,6965.4,1949-1978,17.0,Low,129.92,25.3,324.26,296.1,24.66,23.21,381.71,32.99,268.84,545130.0,4753370.0,682.43,15.02,904927.0,2258555.0,2062468.0,176253.0,104594.0
B028,admin,EGB55,construction_only,EGB55,,,4729.6,ab 2010,,Negligible,127.52,45.14,346.03,340.51,30.05,31.72,813.75,14.79,85.22,565411.0,2601339.0,550.01,7.46,603125.0,1636585.0,1610483.0,213486.0,35294.0
B028,admin,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4729.6,ab 2010,6.5,Negligible,25.54,6.11,65.61,86.57,6.42,3.06,79.24,88.66,32.99,565411.0,578662.0,122.35,2.01,120783.0,310296.0,409446.0,28915.0,9495.0
B028,admin,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4729.6,ab 2010,6.5,Negligible,128.89,46.1,374.04,462.83,11.79,66.67,241.52,29.8,163.42,565411.0,2473637.0,523.01,10.23,609617.0,1769086.0,2189002.0,218031.0,48393.0
B029,office,EGB55,construction_only,EGB55,,,496.7,ab 2010,,Negligible,80.69,26.79,219.24,214.94,7.86,45.91,801.74,57.05,60.25,94803.0,180807.0,364.05,6.46,40075.0,108888.0,106751.0,13306.0,3209.0
B029,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,496.7,ab 2010,12.2,Negligible,28.49,10.55,64.76,81.27,5.77,17.96,90.61,46.61,50.73,94803.0,43824.0,88.24,15.43,14147.0,32162.0,40362.0,5238.0,7666.0
B029,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,496.7,ab 2010,12.2,Negligible,54.24,18.77,120.21,192.88,10.95,49.73,151.37,72.48,65.05,94803.0,387869.0,780.95,14.09,26940.0,59706.0,95796.0,9324.0,6999.0
B030,sports_hall,EGB55,construction_only,EGB55,,,1371.8,1919-1948,,Very high,27.94,6.41,66.24,90.08,7.35,73.68,212.03,47.14,226.93,187627.0,951592.0,693.69,1.85,38324.0,90866.0,123572.0,8790.0,2534.0
B030,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1371.8,1919-1948,19.5,Very high,41.57,10.8,90.07,128.44,5.99,18.69,28.48,24.95,14.19,187627.0,158340.0,115.43,5.04,57031.0,123553.0,176198.0,14815.0,6919.0
B030,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1371.8,1919-1948,19.5,Very high,120.83,44.38,260.83,265.96,19.03,86.93,706.27,12.89,306.98,187627.0,1025783.0,747.77,15.5,165759.0,357804.0,364844.0,60880.0,21262.0
B031,community_center,EGB55,construction_only,EGB55,,,6958.8,1996-2009,,Negligible,97.57,25.06,311.63,302.03,17.99,85.73,312.91,89.95,386.55,527802.0,2215270.0,318.34,5.57,678943.0,2168564.0,2101774.0,174379.0,38776.0
B031,community_center,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,6958.8,1996-2009,14.6,Negligible,41.63,9.04,75.45,150.86,8.31,14.09,93.31,11.5,14.59,527802.0,626153.0,89.98,1.28,289663.0,525034.0,1049774.0,62904.0,8901.0
B031,community_center,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,6958.8,1996-2009,14.6,Negligible,86.76,27.02,231.06,197.31,11.05,81.59,181.04,51.72,59.02,527802.0,5309884.0,763.05,3.16,603726.0,1607908.0,1373024.0,188050.0,21984.0
B032,sports_hall,EGB55,construction_only,EGB55,,,4555.5,1979-1995,,Low,95.15,18.56,265.5,357.38,7.94,71.52,224.44,45.72,238.6,956628.0,2134978.0,468.66,15.84,433455.0,1209499.0,1628064.0,84553.0,72150.0
B032,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4555.5,1979-1995,16.2,Low,20.7,6.68,50.77,59.21,3.17,10.88,48.12,27.85,17.42,956628.0,377321.0,82.83,5.05,94279.0,231307.0,269732.0,30453.0,22985.0
B032,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4555.5,1979-1995,16.2,Low,121.42,30.21,323.79,442.4,18.44,53.49,443.72,61.32,404.71,956628.0,959625.0,210.65,15.46,553119.0,1475057.0,2015381.0,137602.0,70444.0
B033,library,EGB55,construction_only,EGB55,,,6448.6,1979-1995,,Low,92.14,25.96,253.75,232.35,8.5,72.86,743.34,62.58,162.14,723523.0,3191445.0,494.9,1.8,594151.0,1636344.0,1498330.0,167391.0,11608.0
